% WHOTS-XXI sys2 SN42 RAW full 24-Nov-2025.
% Winds to East and North, rotated 0.0000 degrees.
% Time word is the time at the start of the averaging period.
% year mo day  hr    yday     BPR   ATMP   STMP   WNDE   WNDN  WSPD  WDIR     RH   SRAD  LRAD   PRC  PRATE   SAL  COND  COMP
%             UTC            mbar   degC   degC    m/s    m/s   m/s   deg      %   W/m2  W/m2    mm  mm/hr   (1)   S/m   deg
  2025  8  21  14 233.604 1015.07 18.846 18.900  -1.97   0.28   2.0 278.1  79.06  258.8 396.9 39.26   0.00 43.81 5.712 143.9
  2025  8  21  16 233.688 1014.17 18.792 20.465  -1.80   0.06   1.8 271.9  81.77  243.9 399.5 39.15   0.00 43.82 5.904 143.6
  2025  8  21  17 233.729 1013.54 18.440 20.698  -1.75   0.25   1.8 278.1  84.34  271.0 398.8 39.14   0.00 43.78 5.928 144.0
  2025  8  21  18 233.771 1012.86 19.028 20.998  -1.92   0.31   1.9 279.2  77.02  245.1 398.7 39.13   0.00 43.76 5.963 143.8
  2025  8  21  19 233.812 1012.24 19.398 21.385  -1.96   0.00   2.0 270.0  70.24  311.2 397.1 39.10   0.00 43.77 6.012 144.0
  2025  8  21  20 233.854 1011.85 19.069 21.608  -1.67  -0.25   1.7 261.5  67.62  242.8 391.8 39.07   0.00 43.78 6.041 144.0
  2025  8  21  21 233.896 1011.12 18.547 21.538  -1.26  -0.56   1.4 246.0  71.83  137.7 394.4 39.07   0.00 43.80 6.036 143.6
  2025  8  21  22 233.938 1010.54 18.283 21.303  -1.10  -0.57   1.2 242.6  76.06   70.0 395.0 39.08   0.00 43.80 6.007 143.3
  2025  8  21  23 233.979 1010.49 17.917 20.868  -0.88  -0.73   1.1 230.3  81.88   15.3 388.0 39.10   0.02 43.82 5.954 143.8
  2025  8  22   0 234.021 1010.20 17.760 20.387  -0.94  -0.69   1.2 233.7  85.57    5.0 373.4 39.12   0.00 43.81 5.894 143.5
  2025  8  22   1 234.062 1009.61 17.411 19.829  -0.84  -0.81   1.2 226.0  85.81    4.7 342.4 39.13   0.00 43.83 5.828 144.0
  2025  8  22   2 234.104 1009.18 17.118 19.262  -0.81  -0.81   1.1 225.0  83.76    4.8 331.8 39.15   0.00 43.82 5.757 144.1
  2025  8  22   3 234.146 1008.54 17.012 18.767  -0.76  -0.80   1.1 223.5  86.03    5.0 333.0 39.17   0.02 43.80 5.694 144.1
  2025  8  22   4 234.188 1007.82 16.965 18.357  -0.47  -1.15   1.2 202.2  86.81    5.1 336.4 39.18   0.00 43.78 5.641 143.9
  2025  8  22   5 234.229 1007.89 16.924 18.029  -0.51  -1.17   1.3 203.6  86.83    5.1 338.9 39.19   0.00 43.76 5.599 144.1
  2025  8  22   6 234.271 1007.40 16.750 17.729  -0.28  -1.00   1.0 195.6  84.50    4.9 327.5 39.20   0.00 43.76 5.563 143.5
  2025  8  22   7 234.312 1007.38 16.951 17.472  -0.12  -1.34   1.3 185.1  79.59    5.2 327.0 39.21   0.00 43.75 5.530 143.9
  2025  8  22   8 234.354 1007.92 17.060 17.280  -0.10  -1.36   1.4 184.2  75.90    5.2 330.0 39.21   0.00 43.73 5.505 143.8
  2025  8  22   9 234.396 1008.63 17.121 17.145   0.12  -1.30   1.3 174.7  74.08    5.4 330.5 39.21   0.00 43.72 5.487 143.9
  2025  8  22  10 234.438 1009.67 16.940 17.048   0.16  -1.24   1.3 172.6  83.39   35.1 325.4 39.22   0.00 43.71 5.475 143.7
  2025  8  22  11 234.479 1010.34 16.997 17.068   0.21  -1.41   1.4 171.5  73.76  118.2 318.4 39.22   0.00 43.72 5.478 143.8
  2025  8  22  13 234.562 1011.47 20.854 19.538  -0.01  -1.14   1.1 180.5  51.17  582.7 329.6 39.16   0.00 43.92 5.802 143.4
  2025  8  22  14 234.604 1011.93 22.975 21.578  -0.27  -0.98   1.0 195.4  43.40  738.4 336.8 39.14   0.00 43.90 6.053 143.3
  2025  8  22  15 234.646 1012.32 23.908 23.616   0.00  -1.33   1.3 180.0  40.39  851.2 340.0 39.02   0.00 43.89 6.307 143.2
  2025  8  22  16 234.688 1012.60 24.638 25.588  -0.13  -1.23   1.2 186.0  38.21  906.5 341.8 38.93   0.00 43.86 6.552 143.4
  2025  8  22  17 234.729 1012.69 24.927 27.397  -0.44  -1.19   1.3 200.3  34.50  903.6 341.5 38.83   0.00  1.10 0.227 143.5
  2025  8  22  18 234.771 1012.99 25.543 28.742  -0.21  -0.87   0.9 193.6  33.89  831.9 343.1 38.74   0.00  1.94 0.396 143.3
  2025  8  22  19 234.812 1013.22 25.267 29.883  -0.75  -0.42   0.9 240.8  35.49  701.8 343.0 38.62   0.00  2.62 0.538 143.4
  2025  8  22  20 234.854 1013.64 24.197 30.659  -0.88  -0.25   0.9 254.1  43.02  529.8 342.9 38.57   0.00  3.08 0.636 143.2
  2025  8  22  21 234.896 1013.81 23.092 30.472  -1.04   0.13   1.0 277.1  47.41  132.0 339.3 38.56   0.00  2.98 0.615 143.1
