% WHOTS-XX sys2 SN8 RAW full 09-Jul-2024.
% Winds to East and North, rotated 0.0000 degrees.
% Time word is the time at the start of the averaging period.
% year mo day  hr    yday     BPR   ATMP   STMP   WNDE   WNDN  WSPD  WDIR     RH   SRAD  LRAD   PRC  PRATE   SAL  COND  COMP
%             UTC            mbar   degC   degC    m/s    m/s   m/s   deg      %   W/m2  W/m2    mm  mm/hr   (1)   S/m   deg
  2024  4  11  14 102.591 1016.81 -20.000 10.536   0.00   0.00   0.0   0.0   0.00  153.5 400.5  0.00   0.00 30.76 3.437 344.3
  2024  4  11  14 102.604 1016.83 -20.000 10.605  -1.26   0.41   1.3 288.0   0.00  178.0 365.0  0.00   0.00 30.87 3.454 115.6
  2024  4  11  15 102.646 1016.62 -20.000 10.486  -1.95   0.38   2.0 281.0   0.00  205.8 354.1  0.00   0.00 30.93 3.450 115.8
  2024  4  11  16 102.688 1016.24 -20.000 10.250  -1.55   0.40   1.6 284.5   0.00  192.2 354.4  0.00   0.00 30.97 3.434 115.7
  2024  4  11  17 102.729 1015.80 -20.000 10.086  -1.30   0.55   1.4 292.9   0.00  107.7 357.2  0.00   0.00 30.95 3.418 115.8
  2024  4  11  18 102.771 1015.49 -20.000 10.079  -1.59   0.42   1.6 284.8   0.00  210.4 355.7  0.00   0.00 30.93 3.415 115.7
  2024  4  11  19 102.812 1015.10 -20.000 10.390  -0.95   0.34   1.0 289.7   0.00  237.1 348.2  0.00   0.00 30.90 3.438 115.9
  2024  4  11  20 102.854 1014.72 -20.000 10.825  -0.75   0.40   0.8 298.1   0.00  109.4 370.8  0.00   0.00 30.91 3.476 115.7
  2024  4  11  21 102.896 1014.42 -20.000 11.074  -1.39   0.62   1.5 294.0   0.00   41.7 374.1  0.00   0.00 30.90 3.497 115.6
  2024  4  11  22 102.938 1013.88 -20.000 11.326  -0.77   0.19   0.8 283.9   0.00   20.3 366.8  0.00   0.00 30.85 3.513 115.7
  2024  4  11  23 102.979 1013.60 -20.000 11.414  -1.34  -0.13   1.3 264.5   0.00    8.4 360.6  0.00   0.00 30.84 3.520 115.7
  2024  4  12   0 103.021 1013.28 -20.000 11.480  -1.60  -0.06   1.6 267.9   0.00    6.1 357.6  0.00   0.00 30.84 3.525 115.7
  2024  4  12   1 103.062 1013.04 -20.000 11.583  -1.73   0.22   1.7 277.2   0.00    5.9 355.4  0.00   0.00 30.84 3.534 115.6
  2024  4  12   2 103.104 1012.55 -20.000 11.675  -1.88   0.30   1.9 279.1   0.00    5.8 356.8  0.00   0.00 30.84 3.542 115.7
  2024  4  12   3 103.146 1011.61 -20.000 11.762  -1.69   0.23   1.7 277.8   0.00    6.2 367.7  0.00   0.00 30.84 3.550 115.6
  2024  4  12   4 103.188 1010.84 -20.000 11.968  -1.75   0.37   1.8 281.9   0.00    6.0 371.7  0.00   0.00 30.85 3.569 115.8
  2024  4  12   5 103.229 1009.92 -20.000 12.154  -2.17   0.42   2.2 281.0   0.00    6.1 361.9  0.00   0.00 30.85 3.584 115.8
  2024  4  12   6 103.271 1008.71 -20.000 12.376  -2.31   0.65   2.4 285.7   0.00    5.9 363.5  0.00   0.00 30.85 3.604 116.2
  2024  4  12   7 103.312 1007.38 -20.000 12.560  -2.94   0.82   3.1 285.6   0.00    6.0 373.9  0.00   0.00 30.85 3.620 115.7
  2024  4  12   8 103.354 1006.10 -20.000 12.642  -2.82   0.94   3.0 288.4   0.00    6.4 378.1  0.00   0.00 30.85 3.627 115.9
  2024  4  12   9 103.396 1005.22 -20.000 12.868  -4.55   1.57   4.8 289.0   0.00    6.5 383.8  0.00   0.00 30.85 3.646 115.3
  2024  4  12  10 103.438 1003.99 -20.000 13.106  -4.91   1.96   5.3 291.8   0.00    8.8 384.4  0.00   0.00 30.84 3.666 115.6
  2024  4  12  11 103.479 1002.92 -20.000 13.262  -4.83   1.98   5.2 292.3   0.00   22.2 382.5  0.00   0.00 30.84 3.680 115.7
  2024  4  12  12 103.521 1002.13 -20.000 13.162  -4.36   1.66   4.7 290.8   0.00   23.3 382.1  0.00   0.00 30.87 3.674 115.1
  2024  4  12  13 103.562 1001.22 -20.000 13.255  -4.29   1.65   4.6 291.0   0.00   38.9 383.4  0.00   0.00 30.85 3.679 116.0
  2024  4  12  14 103.604  999.63 -20.000 13.484  -4.69   1.73   5.0 290.2   0.00  115.4 382.6  0.00   0.00 30.83 3.698 116.3
  2024  4  12  15 103.646  998.13 -20.000 13.618  -3.53   1.26   3.7 289.6   0.00  149.2 372.8  0.00   0.00 30.85 3.712 115.7
  2024  4  12  16 103.688  997.27 -20.000 14.031  -3.17   0.89   3.3 285.7   0.00  368.4 356.9  0.00   0.00 30.85 3.748 116.1
  2024  4  12  17 103.729  996.70 -20.000 14.255  -2.30   0.75   2.4 288.1   0.00  209.4 370.1  0.00   0.00 30.91 3.774 116.3
  2024  4  12  18 103.771  995.94 -20.000 14.143  -2.14   0.69   2.2 287.9   0.00  264.4 372.5  0.00   0.00 30.95 3.768 115.9
  2024  4  12  19 103.812  995.93 -20.000 14.393  -1.26   0.58   1.4 294.7   0.00  249.2 371.5  0.00   0.00 30.92 3.788 115.9
  2024  4  12  20 103.854  995.75 -20.000 14.585  -0.34   0.32   0.5 313.3   0.00  138.3 370.2  0.00   0.00 30.91 3.803 115.8
  2024  4  12  21 103.896  996.38 -20.000 14.197   0.53   0.13   0.5  76.2   0.00  127.3 357.0  0.00   0.00 30.98 3.776 115.7
  2024  4  12  22 103.938  997.38 -20.000 13.474   0.31   0.01   0.3  88.2   0.00   48.3 297.6  0.00   0.00 31.04 3.720 115.7
  2024  4  12  23 103.979  998.29 -20.000 12.607   0.06   0.26   0.3  13.0   0.00    7.5 284.8  0.00   0.00 31.07 3.647 115.7
  2024  4  13   0 104.021  999.33 -20.000 11.677   0.08   0.02   0.1  76.0   0.00    4.3 282.4  0.00   0.00 31.09 3.568 115.9
  2024  4  13   1 104.062  999.73 -20.000 10.996   0.00   0.20   0.2   0.0   0.00    4.4 284.4  0.00   0.00 31.07 3.508 115.8
